message_id,conversation_id,topic,timestamp,labeler_id,confidence
36644,1,Discussion on price defense strategy,2025-01-15T07:26:01Z,mistral7b,0.98
36646,1,Volume and price discussion,2025-01-15T07:47:13Z,mistral7b,0.95
36647,1,Bot interaction,2025-01-15T08:16:34Z,mistral7b,0.85
36648,2,New topic: Unspecified question,2025-01-15T08:16:58Z,mistral7b,0.7
36652,1,Request for team members,2025-01-15T11:38:50Z,mistral7b,0.9
36653,1,Response to request for team members,2025-01-15T11:42:31Z,mistral7b,0.95
36654,1,Confirmation of response,2025-01-15T11:43:19Z,mistral7b,0.98
36655,3,Unrelated comment,2025-01-15T12:38:55Z,mistral7b,0.7
36656,1,Follow-up on price defense strategy,2025-01-15T13:15:46Z,mistral7b,0.9
36657,1,Response to follow-up on price defense strategy,2025-01-15T13:32:51Z,mistral7b,0.98
36658,1,Discussion on skepticism and need for reassurance,2025-01-15T13:39:05Z,mistral7b,0.95
36659,4,Skepticism towards the answer,2025-01-15T13:41:40Z,mistral7b,0.85
36660,4,Reaction to skepticism,2025-01-15T13:43:43Z,mistral7b,0.9
36661,5,Reminiscing about past experiences,2025-01-15T13:43:54Z,mistral7b,0.8
36662,5,Acknowledgement of reminiscence,2025-01-15T13:44:28Z,mistral7b,0.9
36663,5,Recognition of user as OG,2025-01-15T13:57:37Z,mistral7b,0.95
36664,5,Appreciation for the user,2025-01-15T13:59:11Z,mistral7b,0.98
