model,label_file,ari,n_messages
175307,labels_20250227_175307_mistral7b_thisiscere.csv,0.5936566306596185,17
163129,labels_20250226_163129_mistral7b_thisiscere.csv,0.41479783925356034,26
191548,labels_20250227_191548_phi:latest-conversation_detection_prompt_thisiscere.csv,1.0,0
195619,labels_20250227_195619_mistral-conversation_detection_prompt_thisiscere.csv,0.09218069250171979,37
154125,labels_20250227_154125_mistral_thisiscere.csv,0.057712330804700285,36
143535,labels_20250131_143535_gpt4o_thisiscere.csv,0.5833638248566898,49
151502,labels_20250227_151502_mistral7b_thisiscere.csv,0.6127562642369021,17
194128,labels_20250227_194128_mistral-conversation_detection_prompt_thisiscere.csv,0.03703323758719737,64
100711,labels_20250227_100711_phi4_thisiscere.csv,9.848026910712452e-05,479
161015,labels_20250227_161015_mistral7b_thisiscere.csv,0.29386880252693326,27
171944,labels_20250131_171944_claude35s_thisiscere.csv,0.5680705190989226,49
193736,labels_20250227_193736_mistral-conversation_detection_prompt_thisiscere.csv,0.0069810999489187805,54
180822,labels_20250224_180822_mistral7b_thisiscere.csv,0.1927750076320342,27
102446,labels_20250227_102446_mistral7b_thisiscere.csv,0.30509488517398387,29
185300,labels_20250131_185300_deepseekv3_thisiscere.csv,0.8652871839336348,67
175511,labels_20250227_175511_mistral7b_thisiscere.csv,0.7108325872873769,17
202230,labels_20250225_202230_mistral7b_thisiscere.csv,0.2194934765924789,27
175638,labels_20250227_175638_mistral7b_thisiscere.csv,0.5254710397766923,17
