message_id,conversation_id,topic,timestamp,labeler_id,confidence
36570,'1','Reward Distribution',20250114013000,mistral,1.0
36571,'1','Reward Distribution',20250114013229,mistral,1.0
36572,'1','Reward Distribution',20250114013804,mistral,1.0
36573,'1','Reward Distribution',20250114014311,mistral,1.0
36569,'2','Promotion',20250114012448,mistral,1.0
36574,'2','Promotion',20250114022238,mistral,1.0
36568,'3','Spam Messages',20250114012237,mistral,1.0
36567,'4','Reward Distribution',20250114011943,mistral,1.0
36575,'5','Spam Messages',20250114022238,mistral,1.0
36576,'5','Spam Messages',20250114023026,mistral,1.0
36565,'6','Reward Distribution',20250114011807,mistral,1.0
36577,'7','Reward Distribution',20250114024910,mistral,1.0
36578,'7','Reward Distribution',20250114030448,mistral,1.0
36579,'7','Reward Distribution',20250114031526,mistral,1.0
36566,'8','Promotion',20250114011943,mistral,1.0
36564,'9','Reward Distribution',20250114011707,mistral,1.0
36573,'10','Reward Distribution',20250114014311,mistral,1.0
36569,'11','Promotion',20250114012448,mistral,1.0
36571,'12','Reward Distribution',20250114013229,mistral,1.0
36572,'13','Reward Distribution',20250114013804,mistral,1.0
36568,'14','Spam Messages',20250114012237,mistral,1.0
36574,'15','Promotion',20250114022238,mistral,1.0
36575,'16','Spam Messages',20250114022238,mistral,1.0
36576,'17','Spam Messages',20250114023026,mistral,1.0
36578,0,'Spam Messages',20250114051733,mistral,1.0
36580,1,'Cryptocurrency Giveaway',20250114064659,mistral,1.0
36582,1,'Confirm Bull run',20250114092102,mistral,1.0
36583,1,'Froshray',20250114093558,mistral,1.0
36587,1,'Announcement Expectation',20250114094036,mistral,1.0
36588,1,'Announcement Expectation',20250114094206,mistral,1.0
36589,1,'Update Expectation (Bren)',20250114100349,mistral,1.0
36590,0,'Unknown',20250114101101,mistral,1.0
36592,7,'Cryptocurrency Pump (XRP)',20250114112840,mistral,1.0
36597,8,'Developer Services Offered',20250114132545,mistral,1.0
36599,1,"""Short Days Discussion""",20250114133347,mistral,1.0
36600,1,"""NSYE Opening Discussion""",20250114133527,mistral,1.0
36602,2,"""New Participant Greeting""",20250114142650,mistral,1.0
36603,1,"""Offering Awareness""",20250114143011,mistral,1.0
36609,1,"""Update Request""",20250114181900,mistral,1.0
36611,1,"""Update Missed""",20250114182725,mistral,1.0
36613,1,"""Update Information""",20250114182725,mistral,1.0
36615,1,"""Discussion about project completion and partnerships""",20250114183454,mistral,1.0
36616,1,"""Referencing Vitalik's tweet and gas reimbursement site""",20250114184909,mistral,1.0
36617,1,"""Discussion about gas reimbursement site named 'GasFees .net'""",20250114184913,mistral,1.0
36618,1,"""Inquiry about multi-chain gas fee reimbursement""",20250114184915,mistral,1.0
36619,1,"""Response to previous message confirming multi-chain gas fee reimbursement""",20250114184917,mistral,1.0
36620,2,"""Cere Network x Hyperbridge Integration Update""",20250114185127,mistral,1.0
36621,2,"""Announcement of further updates later this month""",20250114185343,mistral,1.0
36623,3,"""Promotion for a coin UPC0MlNG on ETH""",20250114185657,mistral,1.0
36626,4,"""Inquiry about open moderator role""",20250114212347,mistral,1.0
36627,4,"""Promotion for an Ethereum coin making tool""",20250114220201,mistral,1.0
"""36634""","""1""","""Giveaway""",20250115004736,mistral,1.0
"""36636""","""1""","""Giveaway""",20250115011948,mistral,1.0
"""36637""","""1""","""Query""",20250115015026,mistral,1.0
"""36643""","""2""","""Enquiry about partnership""",20250115043148,mistral,1.0
"""36644""","""2""","""Contact information for proposals""",20250115043230,mistral,1.0
"""36645""","""2""","""Anticipation about Cere""",20250115043604,mistral,1.0
"""36646""","""3""","""Experience with a smart bot""",20250115060900,mistral,1.0
"""36644""","""1""","""Defending Price Strategy Discussion""",20250115072601,mistral,1.0
"""36646""","""1""","""Volume and Price Analysis""",20250115074713,mistral,1.0
"""36647""","""1""","""New Topic Introduced by User jjpdijkstra""",20250115081634,mistral,1.0
"""36648""","""2""","""New Conversation Started by OxTigerz""",20250115081658,mistral,1.0
"""36652""","""1""","""Continuation of Defending Price Strategy Discussion""",20250115113850,mistral,1.0
"""36653""","""1""","""Confirmation of Answer by nerbke""",20250115114231,mistral,1.0
"""36654""","""1""","""Acknowledgment by Tem9o9""",20250115114319,mistral,1.0
"""36655""","""3""","""Spam Messages""",20250115123855,mistral,1.0
"""36656""","""1""","""Confirmation of Answer by Tem9o9""",20250115131546,mistral,1.0
"""36657""","""1""","""Reiteration of Answer by nerbke""",20250115133251,mistral,1.0
"""36658""","""1""","""Discussing skepticism among old holders and providing encouragement""",20250115133905,mistral,1.0
"""36659""","""1""","""Responding to the previous message expressing disbelief""",20250115134140,mistral,1.0
"""36660""","""2""","""Reminiscing about past experiences during Covid pandemic""",20250115134343,mistral,1.0
"""36661""","""2""","""Expressing nostalgia about the past 5 years""",20250115134354,mistral,1.0
"""36662""","""2""","""Recognizing a long-time user (Protocol920)""",20250115134428,mistral,1.0
"""36663""","""3""","""Acknowledging the presence of a particular user (StasisTrap) and expressing gratitude""",20250115135737,mistral,1.0
"""36664""","""3""","""Confirming that they too are there because of StasisTrap""",20250115135911,mistral,1.0
