message_id,conversation_id,topic,timestamp,labeler_id,confidence
0,0,Spam Messages,2025-01-14T14:30:19Z,mistral7b,0.99
1,1,Announcement - Airdrop Event for X Token,2025-01-14T14:30:19Z,mistral7b,0.85
2,1,How to Claim X Tokens,2025-01-14T15:55:11Z,mistral7b,0.95
3,2,Offering Development Services,2025-01-14T13:33:47Z,mistral7b,0.8
4,2,No need to offer again,2025-01-14T13:35:27Z,mistral7b,0.9
5,3,Hello everyone!,2025-01-14T14:26:50Z,mistral7b,0.8
6,4,hans ha sshort days,2025-01-14T13:35:27Z,mistral7b,0.9
36644,1,Discussion on price defense strategy,2025-01-15T07:26:01Z,mistral7b,0.98
36646,1,Volume and price discussion,2025-01-15T07:47:13Z,mistral7b,0.85
36647,1,Bot interaction detection,2025-01-15T08:16:34Z,mistral7b,0.95
36648,2,New topic - Unspecified question,2025-01-15T08:16:58Z,mistral7b,0.7
36652,1,Request for team members' attention,2025-01-15T11:38:50Z,mistral7b,0.9
36653,1,Response to request for team members' attention,2025-01-15T11:42:31Z,mistral7b,0.95
36654,1,Confirmation of response,2025-01-15T11:43:19Z,mistral7b,0.98
36655,1,Expression of concern and skepticism,2025-01-15T12:38:55Z,mistral7b,0.8
36656,1,Follow-up on previous question,2025-01-15T13:15:46Z,mistral7b,0.95
36657,1,Answer to follow-up question,2025-01-15T13:32:51Z,mistral7b,0.98
36658,1,Discussion on skepticism and need for reassurance,2025-01-15T13:41:40Z,mistral7b,0.9
36659,2,Expression of disbelief,2025-01-15T13:43:43Z,mistral7b,0.8
36660,3,Reminiscing about past experiences,2025-01-15T13:43:54Z,mistral7b,0.9
36661,3,Response to reminiscing,2025-01-15T13:43:54Z,mistral7b,0.85
36662,3,Recognition of fellow user,2025-01-15T13:44:28Z,mistral7b,0.95
36663,3,Confirmation of recognition,2025-01-15T13:57:37Z,mistral7b,0.98
36664,3,Expression of gratitude,2025-01-15T13:59:11Z,mistral7b,0.9
