message_id,conversation_id,topic,timestamp,labeler_id,confidence
36570,1,PAWS Drop,20250114013938,mistral,1.0
36571,1,PAWS Drop,20250114013957,mistral,1.0
36573,2,XTON Wheel Bot Promotion,20250114014848,mistral,1.0
36576,2,XTON Wheel Bot Promotion,20250114023026,mistral,1.0
36572,3,PAWS Drop,20250114015918,mistral,1.0
36574,3,PAWS Drop,20250114022238,mistral,1.0
36575,4,Spam Messages,20250114022238,mistral,1.0
36571,5,PAWS Drop,20250114013957,mistral,1.0
36572,6,PAWS Drop,20250114015918,mistral,1.0
36573,7,XTON Wheel Bot Promotion,20250114014848,mistral,1.0
36574,8,PAWS Drop,20250114022238,mistral,1.0
36575,9,Spam Messages,20250114022238,mistral,1.0
36576,10,XTON Wheel Bot Promotion,20250114023026,mistral,1.0
36578,1,TONSPIN Giveaway,20250114051733,mistral,1.0
36580,2,$PAWS Festival,20250114064659,mistral,1.0
36582,3,Confirm Bull run,20250114092102,mistral,1.0
36583,3,Froshray,20250114093558,mistral,1.0
36587,4,Announcement Expectation,20250114094036,mistral,1.0
36588,4,CERE Alt Season,20250114094206,mistral,1.0
36589,4,Update from Bren,20250114100349,mistral,1.0
36590,5,Greeting,20250114101101,mistral,1.0
36592,6,XRP and PHNIX Pump,20250114112840,mistral,1.0
36597,7,Developer Services Offered,20250114132545,mistral,1.0
36599,1,Short Days,20250114133347,mistral,1.0
36600,1,Nyse Opening Discussion,20250114133527,mistral,1.0
36602,2,Greetings,20250114142650,mistral,1.0
36603,1,Offer Rejection,20250114143019,mistral,1.0
36605,1,Short Days Continuation,20250114151730,mistral,1.0
36606,1,Short Days Continuation,20250114152920,mistral,1.0
36607,1,Short Days Continuation,20250114162046,mistral,1.0
36608,1,Short Days Continuation,20250114170129,mistral,1.0
36609,1,Short Days Continuation,20250114174248,mistral,1.0
36610,1,Short Days Continuation,20250114181010,mistral,1.0
36612,2,Airdrop Event Announcement,20250114175923,mistral,1.0
36613,2,Update Request,20250114182725,mistral,1.0
36611,2,Airdrop Event Announcement,20250114181900,mistral,1.0
36615,1,Project Status & Partnerships,20250114183454,mistral,1.0
36616,1,Project Status & Partnerships,20250114184909,mistral,1.0
36617,1,Gas Reimbursement,20250114184913,mistral,1.0
36618,1,Gas Reimbursement,20250114184915,mistral,1.0
36619,1,Gas Reimbursement,20250114184917,mistral,1.0
36620,2,Cere Network Testnet Integration Update,20250114185127,mistral,1.0
36621,2,Future Announcements,20250114185343,mistral,1.0
36623,3,Coin Promotion (UPC0MlNG),20250114185657,mistral,1.0
36626,4,Role Application for Moderator,20250114212347,mistral,1.0
36627,5,Coin Promotion (KekiusMaxximus) or Spam Messages,20250114220201,mistral,1.0
36635,1,Giveaway,20250115025244,mistral,1.0
36638,2,Enquiry about contact person for partnership opportunities,20250115043148,mistral,1.0
36639,2,Reply to enquiry,20250115043230,mistral,1.0
36640,2,General comment,20250115043604,mistral,1.0
36641,3,Promotion for smart bot,20250115050531,mistral,1.0
36642,3,Response to promotion,20250115060900,mistral,1.0
36644,1,Defending Price Strategy Discussion,20250115072601,mistral,1.0
36646,1,Volume and Price Analysis,20250115074713,mistral,1.0
36647,2,General Interaction,20250115081634,mistral,1.0
36648,3,New Topic Start - Unspecified,20250115081658,mistral,1.0
36652,1,Follow-up on Previous Conversation,20250115113850,mistral,1.0
36653,1,Answer to Follow-up,20250115114231,mistral,1.0
36654,1,Confirmation on Answer,20250115114319,mistral,1.0
36655,4,General Interaction - Thoughts and Prayers,20250115123855,mistral,1.0
36656,1,Follow-up on Unanswered Question,20250115131546,mistral,1.0
36657,1,Answer to Unanswered Question,20250115133251,mistral,1.0
36658,1,"""Discussion on boosting old holders' confidence in crypto""",20250115133905,mistral,1.0
36659,1,"""Reply to discussion on boosting old holders' confidence in crypto""",20250115134140,mistral,1.0
36660,2,"""Reminiscing about past experiences and the community""",20250115134343,mistral,1.0
36661,2,"""Continuation of reminiscence on past experiences and the community""",20250115134354,mistral,1.0
36662,2,"""Recognizing OG users in the community""",20250115134428,mistral,1.0
36663,1,"""Expressing gratitude for the original poster's role in the community""",20250115135737,mistral,1.0
36664,1,"""Acknowledgment of the express gratitude for the original poster's role in the community""",20250115135911,mistral,1.0
